,age,sex,smoker,pren_prod,pren_comp,point_sales,product_type,dist_channel,pay_freq,pay_method,profession,evento,time
7534,42,1,1,90.75,0.0,0,8,2,3,1,1,False,1354.0
6762,32,1,1,41.0,0.0,1,8,2,3,1,1,False,3914.0
45,26,1,0,300.54,0.0,0,1,1,0,0,1,True,939.0
4449,51,1,1,3426.32,0.0,0,1,1,1,0,1,False,2171.0
7196,51,1,1,85.8,8.2,1,7,2,3,1,1,False,216.0
4021,29,1,1,277.54,0.0,0,1,1,0,0,1,False,2058.0
6051,36,1,1,22.27,0.0,1,2,2,3,1,1,True,486.0
851,39,1,1,219.14,0.0,0,1,1,0,0,1,True,1048.0
6451,56,1,1,75.74,0.0,0,3,2,3,1,1,False,3926.0
2818,38,0,1,48.0,0.66,0,8,2,3,1,1,False,232.0
6500,39,0,1,91.0,0.0,1,8,2,3,1,1,False,4032.0
7257,39,0,1,606.0,100.77,2,8,1,1,1,1,False,523.0
6068,27,1,1,51.61,1.87,1,3,3,3,1,2,True,239.0
3296,64,1,1,1402.12,0.0,2,0,0,1,0,1,True,55.0
4263,37,1,1,24.25,0.0,1,8,2,3,1,0,True,151.0
4425,37,0,1,38.4,0.0,0,7,2,3,0,1,True,423.0
1400,40,0,1,618.0,287.2,0,8,1,0,0,1,True,2237.0
5759,38,1,1,62.4,0.18,2,8,2,3,1,1,True,453.0
7816,30,0,1,76.8,0.0,1,8,2,3,1,1,True,283.0
6028,51,0,1,27.47,0.0,1,3,2,3,1,1,True,120.0
6016,45,1,1,147.0,0.0,2,8,2,3,1,1,True,346.0
4184,33,1,1,1166.4,1140.6,0,8,1,3,1,1,False,354.0
7520,33,0,1,66.4,2.32,0,8,2,3,1,1,True,240.0
3724,24,0,1,33.12,0.0,0,8,2,3,1,1,True,636.0
2253,42,1,1,42.5,0.0,0,10,2,0,1,1,False,159.0
4516,43,0,1,77.0,22.0,0,7,2,3,1,1,False,2221.0
6289,43,1,1,288.36,0.0,1,1,1,1,0,1,True,426.0
5258,30,1,1,40.0,0.0,1,8,2,3,1,0,True,316.0
7181,34,1,1,576.0,0.0,0,7,1,3,0,1,True,775.0
5282,52,1,1,78.0,165.75,0,7,2,0,1,1,True,784.0
6715,34,1,1,672.0,103.38,3,7,1,3,1,1,True,362.0
3451,25,1,1,342.91,0.0,1,0,1,0,0,0,True,487.0
5994,38,0,1,28.8,4.36,1,8,2,3,0,1,True,2416.0
1546,38,0,1,52.8,0.0,1,10,2,0,1,1,False,34.0
2250,42,0,1,39.0,2.0,0,7,2,3,1,1,True,440.0
2795,33,1,1,42.0,0.0,1,7,2,3,1,2,True,272.0
7612,38,0,0,559.7,0.0,0,0,1,3,1,1,True,1155.0
3747,56,1,1,594.0,0.0,1,10,0,3,1,1,False,155.0
1737,35,1,1,468.0,0.0,2,10,1,3,1,0,False,125.0
89,39,1,1,37.5,0.0,1,7,2,3,1,2,True,317.0
1629,33,0,1,41.5,4.93,2,8,2,3,1,1,True,408.0
183,49,0,1,54.0,0.0,1,10,2,3,1,1,False,124.0
3247,52,1,1,30.16,0.0,0,3,2,3,1,1,True,1562.0
392,31,0,1,26.79,499.32,1,2,2,3,1,1,False,624.0
159,33,0,1,41.5,1.32,0,8,2,3,1,1,True,231.0
945,41,1,1,702.0,0.0,0,8,1,3,1,1,False,1613.0
1198,37,1,1,780.0,128.17,1,7,1,1,0,1,False,3213.0
1208,29,1,0,25.78,0.0,1,2,2,3,1,1,True,403.0
7236,24,0,1,36.0,0.0,1,8,2,3,1,1,True,1456.0
5794,47,0,1,49.5,25.72,1,7,2,3,1,1,False,190.0
3643,52,1,1,43.68,0.08,4,7,2,3,1,2,True,164.0
975,48,1,1,86.5,0.0,1,8,2,3,1,1,False,3903.0
5760,43,0,1,110.0,25.67,2,8,2,3,1,1,False,3013.0
6951,33,0,1,498.0,11.92,1,8,1,1,1,2,False,609.0
7726,24,0,1,57.0,0.0,1,8,2,3,1,1,True,147.0
1844,38,1,1,62.4,0.0,0,8,2,1,0,2,False,546.0
2742,23,1,1,37.5,0.0,1,8,2,1,1,2,True,383.0
6373,25,1,1,66.0,0.0,1,8,2,3,1,0,True,196.0
3772,49,1,1,21.44,0.0,1,3,2,3,1,1,False,3347.0
7103,29,0,1,300.0,1.56,0,7,1,3,0,1,True,618.0
1416,47,1,1,79.5,0.0,1,8,2,3,1,1,False,3531.0
93,56,1,1,33.33,0.0,1,3,2,3,1,1,False,3135.0
2011,38,1,1,101.0,0.0,1,8,2,3,1,1,False,3775.0
4405,52,0,1,70.4,5.23,2,8,2,1,1,1,False,1278.0
3866,48,0,1,37.74,0.22,1,7,2,3,1,1,False,639.0
7135,27,0,1,61.0,0.0,1,8,2,3,1,1,True,668.0
4577,37,0,1,47.0,0.0,1,8,2,3,1,1,False,3775.0
5271,32,0,1,47.4,14.68,0,8,2,3,1,1,False,1004.0
7648,50,0,1,89.6,0.0,1,7,2,3,1,1,True,1679.0
4929,18,0,1,33.0,0.0,2,8,2,3,1,2,False,3378.0
5351,26,1,1,44.1,0.31,1,7,2,3,1,1,False,2343.0
1055,32,1,1,41.4,0.0,1,4,2,3,1,2,False,121.0
6827,34,1,1,52.8,0.45,2,8,2,3,1,2,True,1337.0
809,42,0,0,79.2,0.0,0,8,2,3,1,1,False,370.0
2691,30,1,1,23.06,0.0,0,2,2,3,1,1,True,911.0
1131,29,1,1,39.5,0.0,1,8,2,3,1,1,False,2343.0
6663,47,1,1,34.5,0.0,1,7,2,3,1,1,True,956.0
4415,34,1,1,83.0,0.0,0,8,2,3,1,1,True,544.0
3290,25,1,1,144.96,0.0,0,0,3,1,0,0,True,77.0
813,30,0,1,19.63,0.0,3,2,2,3,1,2,False,305.0
5099,44,1,1,47.6,0.01,2,8,2,3,1,1,True,403.0
3233,32,1,1,14.0,66.7,0,7,2,0,1,0,True,92.0
189,35,0,1,264.0,0.0,0,8,0,3,1,1,True,332.0
5330,40,1,1,49.06,49.94,0,7,2,3,1,1,False,2496.0
1812,39,0,1,606.0,8.0,2,8,1,3,1,1,True,1086.0
1670,40,0,1,51.5,0.0,3,8,2,3,1,1,True,1761.0
4369,57,0,1,68.0,0.0,1,7,2,3,1,1,True,451.0
69,24,0,1,23.0,0.0,1,7,2,3,1,1,True,228.0
462,33,0,1,47.0,0.74,0,7,2,3,1,1,True,1428.0
1060,38,0,1,198.0,68.89,3,7,0,3,1,1,False,249.0
1167,30,1,1,40.0,12.09,0,8,2,3,1,1,True,1791.0
7001,24,0,1,36.8,0.0,1,7,2,3,1,1,True,182.0
1739,31,0,1,19.91,1.09,0,2,2,3,1,1,True,574.0
1396,27,1,1,25.0,0.0,1,7,2,3,1,2,True,225.0
4466,31,1,0,272.37,0.0,0,3,1,0,0,1,True,480.0
6543,42,1,1,303.58,0.0,1,3,1,3,1,2,False,318.0
2894,41,1,0,23.92,0.0,1,2,2,1,1,1,True,242.0
3095,33,1,1,26.4,0.93,3,7,2,3,1,2,True,422.0
5539,42,1,1,21.58,0.76,1,2,2,3,1,1,False,2524.0
779,33,1,1,81.0,4.55,1,8,2,3,1,2,True,271.0
5164,29,0,1,22.5,0.97,1,7,2,3,1,2,True,178.0
7205,43,1,1,52.4,1.05,2,8,2,3,1,1,True,848.0
796,40,1,1,331.19,0.0,0,1,1,0,0,1,True,457.0
2578,35,1,1,89.0,2.7,1,9,2,3,1,2,False,21.0
4048,40,1,1,28.75,0.0,1,2,2,1,1,1,False,1339.0
447,47,1,1,984.0,600.0,0,7,1,1,0,1,False,3070.0
148,31,0,1,66.0,0.0,1,8,2,3,1,1,True,1424.0
1938,36,1,1,20.78,0.0,2,2,2,3,1,1,True,882.0
4357,31,1,1,48.6,23.12,0,8,2,3,1,1,True,547.0
6920,27,0,1,29.6,0.0,1,8,2,3,1,1,True,927.0
7194,28,0,1,37.5,0.0,0,8,2,3,1,1,True,757.0
150,31,0,1,46.8,0.55,1,8,2,3,1,1,True,475.0
6575,29,0,0,24.86,0.0,0,2,2,3,1,1,True,290.0
5163,41,1,1,164.0,0.27,1,7,2,3,1,1,False,1613.0
5337,37,1,1,77.6,0.27,1,8,2,3,1,1,True,354.0
3876,38,0,1,21.91,0.0,1,2,2,3,1,1,False,578.0
4604,36,1,1,141.75,0.0,0,7,2,0,0,1,True,635.0
1456,49,0,1,45.3,0.0,1,8,2,1,1,1,False,3439.0
1388,44,1,1,56.57,0.0,1,2,2,1,1,1,False,698.0
2278,66,0,1,197.5,60.5,0,8,2,3,1,1,True,790.0
4523,34,1,1,99.67,0.33,1,9,2,3,1,1,False,34.0
2540,33,0,1,498.0,354.0,1,8,1,3,1,1,True,997.0
3802,32,0,1,312.0,2.52,3,7,1,3,1,2,True,1303.0
4762,34,1,1,19.45,0.0,1,2,2,1,1,2,False,244.0
296,45,1,1,35.84,0.0,1,4,2,3,1,1,False,121.0
